lender_id,lender_name,lender_type,preferred_deal_size_min_usd,preferred_deal_size_max_usd,preferred_industries,preferred_regions,preferred_loan_types,risk_appetite,specialization_notes,avg_funding_timeline_days,indicative_interest_rate_min_pct,indicative_interest_rate_max_pct,historical_success_rate_pct,contact_person,contact_email,website
LDR0001,"Jenkins, Jordan and Sutton Trust",Venture Capital,500000,2542187,Retail; Consumer Goods; Media & Entertainment,UK & Ireland,Growth Equity; Term Loan (Secured); Invoice Financing,Medium-High,Specializes as a venture capital. Primary industry focus: Retail. Favored investment/loan types: Growth Equity. General risk appetite: Medium-High. Typically invests in later-stage companies. May require board seat.,51,6.13,9.59,35.0,Brandon Finley,jshepherd@ramos-johnson.net,https://wilkinson.biz/
LDR0002,Parker PLC,Private Equity,25000000,94421436,HealthTech; AI & Machine Learning; Deep Tech,Sub-Saharan Africa; East Asia,Strategic Investment,Opportunistic,Specializes as a private equity. Primary industry focus: AI & Machine Learning; HealthTech. Favored investment/loan types: Strategic Investment. General risk appetite: Opportunistic. Typically invests in growth-stage companies. Keen interest in scalable platforms.,51,,,26.0,Andrea Brown,mjohnson@roberts.com,https://www.jacobson.biz/
LDR0003,Tapia-Johnson Partners,Specialty Finance Company,500000,2728239,Deep Tech,APAC (Asia-Pacific),Series C+,Opportunistic,Specializes as a specialty finance company. Primary industry focus: Deep Tech. Geographic scope includes: APAC (Asia-Pacific). General risk appetite: Opportunistic. May require board seat.,112,,,33.0,Kyle Trujillo,uwright@rojas.net,https://www.ward.net/
LDR0004,Williams-Chan Investments,Credit Union,50000,268667,Healthcare,LATAM (Latin America),Growth Equity; Convertible Note; Series C+,Medium,Specializes as a credit union. Primary industry focus: Healthcare. Geographic scope includes: LATAM (Latin America). Favored investment/loan types: Series C+; Growth Equity. General risk appetite: Medium.,142,,,70.0,Diana Terry,qpruitt@brown.com,http://coleman.com/
LDR0005,"Harrell, Hoffman and Carpenter",Credit Union,100000,670147,Agriculture & AgTech,Sub-Saharan Africa; South Asia,Project Finance,Low,Specializes as a credit union. Primary industry focus: Agriculture & AgTech. Geographic scope includes: Sub-Saharan Africa. Favored investment/loan types: Project Finance. General risk appetite: Low. May require detailed financial projections.,111,,,49.0,Dr. Martha Rice,christopherhurst@calhoun-ashley.com,http://torres.info/
LDR0006,Maldonado Ltd Ventures,Venture Capital,500000,4062941,AI & Machine Learning; Education; Healthcare,Global,Seed Round; Term Loan (Secured); Pre-Seed Funding; Project Finance,Medium-Low,Specializes as a venture capital. Primary industry focus: Education; AI & Machine Learning. Geographic scope includes: Global. General risk appetite: Medium-Low. Typically invests in scalable technology companies. Keen interest in disruptive technologies. Known for disintermediate rich networks. May require board seat.,138,7.45,8.46,70.0,Catherine Johnson,sramirez@farmer.com,http://fox-jennings.com/
LDR0007,Villarreal Group Bank,Credit Union,250000,2349606,Finance; Construction & Infrastructure,LATAM (Latin America); APAC (Asia-Pacific),Series C+; Strategic Investment,Opportunistic,Specializes as a credit union. Primary industry focus: Construction & Infrastructure. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: Series C+. General risk appetite: Opportunistic.,80,,,70.0,Dylan Johnson,jamesnunez@curry-gonzalez.com,https://www.nelson-smith.org/
LDR0008,Murray-Rodriguez Partners,Impact Investor,100000,912618,Deep Tech,"APAC (Asia-Pacific); EMEA (Europe, Middle East, Africa)",SBA Loan; Series C+; Convertible Note; Term Loan (Unsecured),Calculated Growth,Specializes as a impact investor. Primary industry focus: Deep Tech. Geographic scope includes: APAC (Asia-Pacific). General risk appetite: Calculated Growth. May require strong management team.,137,5.9,12.72,69.0,Linda Jones,dsmith@nelson.com,http://www.scott-bailey.com/
LDR0009,Hanson PLC Finance,Commercial Bank,100000,834571,AI & Machine Learning; Deep Tech; Gaming,"LATAM (Latin America); EMEA (Europe, Middle East, Africa)",Mezzanine Debt; Revolving Credit Facility; Seed Round; Venture Debt; Equity Crowdfunding,Medium,Specializes as a commercial bank. Primary industry focus: Deep Tech. Geographic scope includes: LATAM (Latin America). General risk appetite: Medium. Keen interest in IP-rich ventures.,127,5.59,6.59,70.0,Crystal Cordova,andersondavid@drake-king.com,https://www.cooper.com/
LDR0010,Wilson Ltd Finance,Mezzanine Fund,1000000,2695001,E-commerce,LATAM (Latin America),Pre-Seed Funding; Line of Credit,Calculated Growth,Specializes as a mezzanine fund. Primary industry focus: E-commerce. Geographic scope includes: LATAM (Latin America). Favored investment/loan types: Pre-Seed Funding; Line of Credit. General risk appetite: Calculated Growth. May require clear exit strategy.,103,,,46.0,Sara James,xwatson@benton.com,https://fuller.org/
LDR0011,Mitchell-Harrell,Commercial Bank,1000000,4732660,Manufacturing; Media & Entertainment; Deep Tech; Finance,North America,Invoice Financing; Bridge Loan; Line of Credit; Revolving Credit Facility,Low,Specializes as a commercial bank. Primary industry focus: Finance. Geographic scope includes: North America. Favored investment/loan types: Revolving Credit Facility. General risk appetite: Low. May require detailed financial projections.,104,3.37,7.64,57.99999999999999,Sharon Quinn,robert10@dillon.com,https://www.carey-hernandez.org/
LDR0012,"Gibson, Tyler and Gibson",Impact Investor,5000000,31675497,E-commerce,North America,Term Loan (Unsecured); Mezzanine Debt; Asset-Backed Loan; Pre-Seed Funding; Convertible Note,Low,Specializes as a impact investor. Primary industry focus: E-commerce. Geographic scope includes: North America. Favored investment/loan types: Pre-Seed Funding; Convertible Note. General risk appetite: Low. Known for redefine customized applications.,39,4.05,8.83,15.0,Tracy Hernandez,leslie63@gordon.org,https://wagner.info/
LDR0013,Gibson-Carroll,Credit Union,100000,1355956,Technology,APAC (Asia-Pacific); North America,Line of Credit; Strategic Investment; Asset-Backed Loan; Mezzanine Debt,Calculated Growth,Specializes as a credit union. Primary industry focus: Technology. Geographic scope includes: APAC (Asia-Pacific). Favored investment/loan types: Asset-Backed Loan; Line of Credit. General risk appetite: Calculated Growth. Keen interest in IP-rich ventures. May require board seat.,95,4.35,11.07,52.0,Paula Perry,sullivanrobert@jordan.com,https://www.dickson-jordan.com/
LDR0014,"Dunn, Taylor and Harrison Investments",Venture Capital,2000000,21754141,E-commerce; Manufacturing,"EMEA (Europe, Middle East, Africa)",Seed Round; Strategic Investment; Growth Equity; Series C+; Term Loan (Unsecured),Medium,"Specializes as a venture capital. Primary industry focus: E-commerce. Geographic scope includes: EMEA (Europe, Middle East, Africa). Favored investment/loan types: Strategic Investment; Growth Equity. General risk appetite: Medium. Typically invests in early-stage companies. Known for target robust e-markets. May require clear exit strategy.",114,7.95,15.8,74.0,Dustin Fox,cwilliams@gallagher.org,https://chan.org/
LDR0015,Sims-Bailey,Investment Fund,25000000,91913864,Media & Entertainment; SaaS; Education; Biotechnology; E-commerce,LATAM (Latin America),Line of Credit; Growth Equity; Term Loan (Secured); Series C+,Venture,Specializes as a investment fund. Primary industry focus: Media & Entertainment. Geographic scope includes: LATAM (Latin America). General risk appetite: Venture. Keen interest in scalable platforms. Known for repurpose user-centric supply-chains. May require board seat.,103,10.25,11.3,72.0,Anthony Lloyd,jeffreymorgan@lawrence.com,http://edwards.com/
LDR0016,"Bass, Garrett and Molina Investments",Venture Capital,2000000,29373676,Real Estate,North America; Global,Pre-Seed Funding; Growth Equity,Medium,Specializes as a venture capital. Primary industry focus: Real Estate. Geographic scope includes: Global. General risk appetite: Medium. Typically invests in growth-stage companies.,68,,,18.0,Brandy Mccall,dana43@roach.com,https://smith-hill.net/
